,campus,lon,lat,total,pop,rate,state
621,Fairleigh Dickinson University-Metropolitan Campus,-74.030864,40.8977928,64,122220,0.52,new jersey
622,Fairmont State University,-80.161015,39.482198,231,66714,3.46,west virginia
623,Faith Baptist Bible College and Theological Seminary,-93.624298,41.73667,61,5628,10.84,iowa
624,Faith Evangelical College & Seminary,-122.5163641,47.2801639,3,2950,1.02,washington
625,Family of Faith College,-96.9014236,35.4623548,2,367,5.45,oklahoma
626,Farmingdale State College,-73.4287388,40.7525499,70,95384,0.73,new york
627,Fashion Institute of Design & Merchandising-Los Angeles,-118.2600172,34.0441931,14,53257,0.26,california
629,Fashion Institute of Technology,-73.995082,40.747484,39,143908,0.27,new york
630,Faulkner University,-86.2187194,32.3849572,97,41304,2.35,alabama
631,Fayetteville State University,-78.891717,35.076475,399,82502,4.84,north carolina
632,Felician College,-74.112864,40.829519,81,27336,2.96,new jersey
633,Ferris State University,-85.4841782,43.6834099,326,184014,1.77,michigan
634,Ferrum College,-80.0206987,36.9264771,243,15832,15.35,virginia
635,Fielding Graduate University,-119.717472,34.4292763,1,12780,0.08,california
636,Finlandia University,-88.5891047,47.1265521,60,7338,8.18,michigan
637,Fisher College,-71.07417,42.35531,185,21019,8.8,massachusetts
638,Fisk University,-86.8036732,36.1672514,156,10607,14.71,tennessee
639,Fitchburg State University,-71.789832,42.5882121,602,85576,7.03,massachusetts
640,Five Branches University,-121.9980494,36.9644346,6,3861,1.55,california
641,Five Towns College,-73.369859,40.794627,6,14085,0.43,new york
642,Flagler College-St Augustine,-81.3148867,29.8927054,35,34380,1.02,florida
2447,Flagler College-Tallahassee,-84.3410622,30.4434838,59,4552,12.96,florida
643,Florida Agricultural and Mechanical University,-84.2878389,30.424734,1049,170143,6.17,florida
644,Florida Atlantic University,-80.1021113,26.3749228,1028,377506,2.72,florida
646,Florida Coastal School of Law,-81.580487,30.232719,7,16831,0.42,florida
647,Florida College,-82.383495,28.0345593,33,6613,4.99,florida
648,Florida College of Integrative Medicine,-81.401812,28.463562,3,1579,1.9,florida
649,Florida Gateway College,-82.566645,30.176485,52,39704,1.31,florida
650,Florida Gulf Coast University,-81.7733903,26.4643209,125,134074,0.93,florida
651,Florida Institute of Technology,-80.623022,28.0646888,123,82904,1.48,florida
652,Florida International University,-80.3739487,25.7565756,1561,554878,2.81,florida
653,Florida Memorial University,-80.2708329,25.9182174,200,26523,7.54,florida
654,Florida National University-Main Campus,-80.321731,25.861521,39,29456,1.32,florida
655,Florida Southern College,-81.9486828,28.03254,108,34691,3.11,florida
656,Florida SouthWestern State College,-81.8872939,26.5513307,47,181392,0.26,florida
657,Florida State College at Jacksonville,-81.6597059,30.3344064,241,365477,0.66,florida
658,Florida State University,-84.2984889,30.4418778,1506,548981,2.74,florida
659,Florida Technical College,-81.1964968,28.5732425,11,25029,0.44,florida
660,Fontbonne University,-90.3158907,38.6415452,42,35180,1.19,missouri
661,Fordham University,-73.8856987,40.8620404,748,206652,3.62,new york
662,Fort Berthold Community College,-102.4731946,47.9832506,8,2961,2.7,north dakota
663,Fort Hays State University,-99.3401772,38.8731302,216,142296,1.52,kansas
664,Fort Lewis College,-107.8710381,37.2737453,322,55832,5.77,colorado
665,Fort Valley State University,-83.898232,32.536914,233,40563,5.74,georgia
666,Fortis College-Centerville,-84.1462691,39.6443171,3,19126,0.16,ohio
2486,Fortis College-Largo,-82.727329,27.894797,8,2331,3.43,florida
668,Framingham State University,-71.4370463,42.2979259,149,79618,1.87,massachusetts
669,Francis Marion University,-79.653017,34.189613,116,54533,2.13,south carolina
670,Franciscan School of Theology,-117.3201763,33.2325181,4,848,4.72,california
671,Franciscan University of Steubenville,-80.6203713,40.3765186,191,35278,5.41,west virginia
672,Franklin and Marshall College,-76.3179016,40.0475258,260,29773,8.73,pennsylvania
673,Franklin College,-86.045479,39.478646,311,14977,20.77,indiana
674,Franklin Pierce University,-72.0555393,42.7789743,401,29672,13.51,new hampshire
675,Franklin University,-82.9903407,39.9583587,11,96462,0.11,ohio
2516,Franklin W Olin College of Engineering,-71.2636653,42.2931671,4,2916,1.37,massachusetts
676,Freed-Hardeman University,-88.637402,35.439035,101,27308,3.7,tennessee
677,Fremont College,-118.0970076,33.8683469,2,3470,0.58,california
678,Fresno Pacific University,-119.7357524,36.7262997,145,37489,3.87,california
679,Friends University,-97.3665583,37.6779869,72,38240,1.88,kansas
681,Frostburg State University,-78.9330554,39.6505499,402,74518,5.39,maryland
682,Full Sail University,-81.3014053,28.5963409,95,145867,0.65,florida
683,Fuller Theological Seminary in California,-118.1404172,34.1477704,130,40470,3.21,california
684,Furman University,-82.4382693,34.9237,297,43124,6.89,south carolina
685,Gannon University,-80.0865882,42.1282445,52,54562,0.95,pennsylvania
686,Gardner-Webb University,-81.6685942,35.2491165,150,57025,2.63,north carolina
687,Garrett-Evangelical Theological Seminary,-87.675625,42.056016,25,4881,5.12,illinois
688,Geneva College,-80.323277,40.7715964,15,28009,0.54,pennsylvania
